fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.4654088,0.443038,0,0.1225806,0.1243863,0.1527778,0.1176471,0.9941317,0.8753117,0.28,0.6308725,0.625
0.490566,0.556962,0,0.1677419,0.1603928,0.3472222,0.2318339,0.9931353,0.798005,0.34,0.6577181,0.625
0.490566,0.4810127,0.04,0.1483871,0.1505728,0.2083333,0.1868512,0.9933346,0.8129676,0.325,0.6577181,0.625
0.7044025,0.1772152,0.56,0.1225806,0.1227496,0.2361111,0.2076125,0.9943309,0.7880299,0.29,0.6577181,0.75
0.4654088,0.443038,0,0.1225806,0.1243863,0.1527778,0.1176471,0.9941317,0.8753117,0.28,0.6308725,0.625
0.4654088,0.4177215,0,0.116129,0.1227496,0.1805556,0.1384083,0.9941317,0.8753117,0.28,0.6308725,0.625
0.4968553,0.3797468,0.06,0.1032258,0.1129296,0.2083333,0.2041522,0.9927368,0.8229426,0.23,0.6308725,0.625
0.4591195,0.4113924,0,0.0774194,0.106383,0.2083333,0.0726644,0.9909434,0.8453865,0.235,0.6711409,0.875
0.490566,0.3670886,0.02,0.1290323,0.1194763,0.125,0.0622837,0.9931353,0.8379052,0.285,0.6375839,0.875
0.4716981,0.3164557,0.36,0.3935484,0.1162029,0.2361111,0.3529412,0.9941317,0.8354115,0.4,0.704698,0.625
0.4213836,0.3670886,0.08,0.116129,0.1587561,0.2083333,0.2249135,0.9922386,0.8179551,0.27,0.6174497,0.625
0.4716981,0.3164557,0.36,0.3935484,0.1162029,0.2361111,0.3529412,0.9941317,0.8354115,0.4,0.704698,0.625
0.3522013,0.3892405,0,0.1032258,0.1456628,0.2222222,0.2041522,0.9906445,0.8927681,0.26,0.6644295,0.625
0.490566,0.3860759,0.29,0.1032258,0.1865794,0.125,0.100346,0.9937331,0.8129676,0.78,0.6107383,0.625
0.5597484,0.3924051,0.18,0.2451613,0.2880524,0.7222222,0.5017301,0.9949287,0.7880299,0.44,0.6174497,0.625
0.5597484,0.3924051,0.19,0.2516129,0.2782324,0.7083333,0.5121107,0.9949287,0.7905237,0.465,0.6174497,0.625
0.5345912,0.1772152,0.56,0.116129,0.1505728,0.4861111,0.3564014,0.993235,0.8229426,0.375,0.704698,0.875
0.509434,0.3544304,0.28,0.1096774,0.6022913,0.2222222,0.1937716,0.9931353,0.7755611,0.64,0.6241611,0.625
0.4654088,0.3734177,0.08,0.283871,0.1407529,0.0833333,0.100346,0.9937331,0.8428928,0.25,0.6040268,0.5
0.4968553,0.2025316,0.51,0.116129,0.5581015,0.2361111,0.1937716,0.993235,0.7581047,0.54,0.6174497,0.75
0.5597484,0.1392405,0.48,0.116129,0.1260229,0.4027778,0.2076125,0.9931353,0.8453865,0.265,0.6308725,0.75
0.4779874,0.2468354,0.31,0.1483871,0.1342062,0.3194444,0.2456747,0.9945302,0.8778055,0.325,0.6510067,0.625
0.4968553,0.2721519,0.21,0.1032258,0.1734861,0.1388889,0.1280277,0.9929361,0.7905237,0.455,0.6375839,0.625
0.5345912,0.3101266,0.11,0.1483871,0.1374795,0.125,0.2318339,0.9931353,0.7905237,0.265,0.6308725,0.625
0.4339623,0.2531646,0.14,0.1548387,0.1391162,0.2916667,0.1384083,0.9931353,0.8553616,0.315,0.6510067,0.75
0.3962264,0.2468354,0.16,0.0903226,0.1309329,0.1527778,0.0795848,0.9918401,0.8329177,0.28,0.6241611,0.625
0.4779874,0.2594937,0.24,0.116129,0.1309329,0.0555556,0.0380623,0.9925375,0.8179551,0.295,0.6375839,0.625
0.4968553,0.2721519,0.21,0.1032258,0.1734861,0.1388889,0.1280277,0.9929361,0.7905237,0.455,0.6375839,0.625
